CnBio_Org_Name,Number and Street,CnAdrPrf_Addrline2,CnAdrPrf_City,CnAdrPrf_State,Postcode,Block-Lot,Primary,Secondary,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
Travelex,29 Broadway,,New York,NY,10006,20-1,Visitor Services,V-Currency Exchange,MANHATTAN,40.70601,-74.01315,1,1,13,1000802,1000200001,Battery Park City-Lower Manhattan                                          
Bank of America,29 Broadway,,New York,NY,10006,20-1,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.70601,-74.01315,1,1,13,1000802,1000200001,Battery Park City-Lower Manhattan                                          
China Chalet,47 Broadway,2nd Floor,New York,NY,10006,20-12,Full Service Dining,F-Chinese,MANHATTAN,40.706443,-74.01279,1,1,13,1000805,1000200012,Battery Park City-Lower Manhattan                                          
T.G.I. Friday's,47 Broadway,,New York,NY,10006,20-12,Full Service Dining,F-Restaurant & Bar,MANHATTAN,40.706443,-74.01279,1,1,13,1000805,1000200012,Battery Park City-Lower Manhattan                                          
Cafe Exchange & Catering,49 Broadway,,New York,NY,10006,20-13,Casual Eating & Takeout,F-Deli,MANHATTAN,40.706493,-74.01275,1,1,13,1000806,1000200013,Battery Park City-Lower Manhattan                                          
Sale & Pepe Fine Foods & Catering,1 Exchange Plaza,,New York,NY,10006,20-16,Casual Eating & Takeout,F-American,,,,,,,,,
Arce Shoe Repair,1 Exchange Plaza,,New York,NY,10006,20-16,Personal and Professional Services,P-Shoe Repair/Shine,,,,,,,,,
FedEx Kinkos,55 Broadway,,New York,NY,10006,20-16,Personal and Professional Services,P-Packaging/Shipping,MANHATTAN,40.706638,-74.012631,1,1,13,1000807,1000200016,Battery Park City-Lower Manhattan                                          
Blarney Stone,11 Trinity Place,,New York,NY,10006,20-4,Full Service Dining,F-Irish Pub,MANHATTAN,40.706531,-74.013847,1,1,13,1000803,1000200004,Battery Park City-Lower Manhattan                                          
Hallmark Gold Crown,39 Broadway,,New York,NY,10006,20-4,Shopping,"S-Gifts, Cards & Stationery",MANHATTAN,40.706251,-74.012952,1,1,13,1000803,1000200004,Battery Park City-Lower Manhattan                                          
Variety Cafe On Broadway,65 Broadway,,New York,NY,10006,21-4,Casual Eating & Takeout,F-Deli,MANHATTAN,40.707113,-74.012234,1,1,13,1000809,1000210004,Battery Park City-Lower Manhattan                                          
New York Diamond Center,65 Broadway,Suite 744,New York,NY,,21-4,Shopping,S-Jeweler,,,,,,,,,
Bean & Bean Organic Coffee,71 Broadway,,New York,NY,10006,21-6,Casual Eating & Takeout,F-Coffeehouse,MANHATTAN,40.707294,-74.01209,1,1,13,1000810,1000210006,Battery Park City-Lower Manhattan                                          
71 Cleaners,71 Broadway,Lower Level,New York,NY,10006,21-6,Personal and Professional Services,P-Dry Cleaning,MANHATTAN,40.707294,-74.01209,1,1,13,1000810,1000210006,Battery Park City-Lower Manhattan                                          
Champs Gourmet Deli,71 Broadway,,New York,NY,10006,21-6,Casual Eating & Takeout,F-Deli,MANHATTAN,40.707294,-74.01209,1,1,13,1000810,1000210006,Battery Park City-Lower Manhattan                                          
International Haircutters,1 Rector Street,,New York,NY,10006,21-6,Personal and Professional Services,P-Hair Salon & Barber Shop,MANHATTAN,40.707492,-74.012101,1,1,13,1000810,1000210006,Battery Park City-Lower Manhattan                                          
David Shoe Repair,71 Broadway,,New York,NY,10006,21-6,Personal and Professional Services,P-Shoe Repair/Shine,MANHATTAN,40.707294,-74.01209,1,1,13,1000810,1000210006,Battery Park City-Lower Manhattan                                          
Stapleton Factory Shoe Outlet,1 Rector Street,,New York,NY,10006,21-6,Shopping,S-Shoes: Men's,MANHATTAN,40.707492,-74.012101,1,1,13,1000810,1000210006,Battery Park City-Lower Manhattan                                          
Signature Bank,71 Broadway,,New York,NY,10006,21-6,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.707294,-74.01209,1,1,13,1000810,1000210006,Battery Park City-Lower Manhattan                                          
Complete Entertainment Exchange,71 Broadway,Lower Level,New York,NY,10006,21-6,Shopping,S-Computers & Electronics,MANHATTAN,40.707294,-74.01209,1,1,13,1000810,1000210006,Battery Park City-Lower Manhattan                                          
"Das Smoke Shop, Inc.",26 Broadway,9th Floor,New York,NY,10004,22-13,Personal and Professional Services,P-Newsstands,MANHATTAN,40.70568,-74.013302,1,1,9,1000811,1000220013,Battery Park City-Lower Manhattan                                          
HSBC,26 Broadway,,New York,NY,10004,22-13,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.70568,-74.013302,1,1,9,1000811,1000220013,Battery Park City-Lower Manhattan                                          
Sol Speedy,26 Broadway,Lobby,New York,NY,10004,22-13,Personal and Professional Services,P-Copy and Printing Services,MANHATTAN,40.70568,-74.013302,1,1,9,1000811,1000220013,Battery Park City-Lower Manhattan                                          
Sophie's Cuban Cuisine,73 New Street,,New York,NY,10004,22-13,Casual Eating & Takeout,F-Caribbean,MANHATTAN,40.705417,-74.01244,1,1,9,1000811,1000220013,Battery Park City-Lower Manhattan                                          
Blue Chip Deli,26 Broadway,Lobby,New York,NY,10004,22-13,Casual Eating & Takeout,F-Deli,MANHATTAN,40.70568,-74.013302,1,1,9,1000811,1000220013,Battery Park City-Lower Manhattan                                          
Stir Cafe,32 Broadway,,New York,NY,10004,22-17,Casual Eating & Takeout,F-Cafe & Eatery,MANHATTAN,40.706045,-74.013096,1,1,9,1078979,1000220017,Battery Park City-Lower Manhattan                                          
Pita Grill,69 New Street,,New York,NY,10004,22-17,Casual Eating & Takeout,F-Middle Eastern,MANHATTAN,40.705507,-74.012396,1,1,9,1078979,1000220017,Battery Park City-Lower Manhattan                                          
The Grotto Restaurant & Catering,69 New Street,Lower Level,New York,NY,10004,22-17,Casual Eating & Takeout,F-Pizza,MANHATTAN,40.705507,-74.012396,1,1,9,1078979,1000220017,Battery Park City-Lower Manhattan                                          
Sushi by Bento Nouveau,32 Broadway,,New York,NY,10004,22-17,Casual Eating & Takeout,F-Japanese,MANHATTAN,40.706045,-74.013096,1,1,9,1078979,1000220017,Battery Park City-Lower Manhattan                                          
New Street Barber Shop,42 Broadway,Lower Level,New York,NY,10004,22-20,Personal and Professional Services,P-Hair Salon & Barber Shop,MANHATTAN,40.70627,-74.012909,1,1,9,1000812,1000220020,Battery Park City-Lower Manhattan                                          
Chase Bank,42 Broadway,,New York,NY,10004,22-20,Personal and Professional Services,P-Banks and Check Cashing,MANHATTAN,40.70627,-74.012909,1,1,9,1000812,1000220020,Battery Park City-Lower Manhattan                                          
Staples,42 Broadway,,New York,NY,10004,22-20,Shopping,S-Office Supplies & Equipment,MANHATTAN,40.70627,-74.012909,1,1,9,1000812,1000220020,Battery Park City-Lower Manhattan                                          
